name	version	source	checksum
tower	0.5.3	registry+https://github.com/rust-lang/crates.io-index	ebe5ef63511595f1344e2d5cfa636d973292adc0eec1f0ad45fae9f0851ab1d4
tower-http	0.6.11	registry+https://github.com/rust-lang/crates.io-index	4cfcf7e2740e6fc6d4d688b4ef00650406bb94adf4731e43c096c3a19fe40840
tower-layer	0.3.3	registry+https://github.com/rust-lang/crates.io-index	121c2a6cda46980bb0fcd1647ffaf6cd3fc79a013de288782836f6df9c48780e
tower-service	0.3.3	registry+https://github.com/rust-lang/crates.io-index	8df9b6e13f2d32c91b9bd719c00d1958837bc7dec474d94952798cc8e69eeec3
tracing	0.1.44	registry+https://github.com/rust-lang/crates.io-index	63e71662fa4b2a2c3a26f570f037eb95bb1f85397f3cd8076caed2f026a6d100
tracing-attributes	0.1.31	registry+https://github.com/rust-lang/crates.io-index	7490cfa5ec963746568740651ac6781f701c9c5ea257c58e057f3ba8cf69e8da
tracing-core	0.1.36	registry+https://github.com/rust-lang/crates.io-index	db97caf9d906fbde555dd62fa95ddba9eecfd14cb388e4f491a66d74cd5fb79a
tracing-log	0.2.0	registry+https://github.com/rust-lang/crates.io-index	ee855f1f400bd0e5c02d150ae5de3840039a3f54b025156404e34c23c03f47c3
tracing-subscriber	0.3.23	registry+https://github.com/rust-lang/crates.io-index	cb7f578e5945fb242538965c2d0b04418d38ec25c79d160cd279bf0731c8d319
typenum	1.20.1	registry+https://github.com/rust-lang/crates.io-index	b6f5e870be6c3b371b77fe0ee0bafb859fa4964b4404c27de1d380043c4dda20
uds_windows	1.2.1	registry+https://github.com/rust-lang/crates.io-index	f2f6fb2847f6742cd76af783a2a2c49e9375d0a111c7bef6f71cd9e738c72d6e
unicase	2.9.0	registry+https://github.com/rust-lang/crates.io-index	dbc4bc3a9f746d862c45cb89d705aa10f187bb96c76001afab07a0d35ce60142
unicode-ident	1.0.24	registry+https://github.com/rust-lang/crates.io-index	e6e4313cd5fcd3dad5cafa179702e2b244f760991f45397d14d4ebf38247da75
untrusted	0.9.0	registry+https://github.com/rust-lang/crates.io-index	8ecb6da28b8a351d773b68d5825ac39017e680750f980f3a1a85cd8dd28a47c1
ureq	2.12.1	registry+https://github.com/rust-lang/crates.io-index	02d1a66277ed75f640d608235660df48c8e3c19f3b4edb6a263315626cc3c01d
url	2.5.8	registry+https://github.com/rust-lang/crates.io-index	ff67a8a4397373c3ef660812acab3268222035010ab8680ec4215f38ba3d0eed
utf8_iter	1.0.4	registry+https://github.com/rust-lang/crates.io-index	b6c140620e7ffbb22c2dee59cafe6084a59b5ffc27a8859a5f0d494b5d52b6be
uuid	1.23.4	registry+https://github.com/rust-lang/crates.io-index	bf80a72845275afea99e7f2b434723d3bc7e38470fcd1c7ed39a599c73319a53
valuable	0.1.1	registry+https://github.com/rust-lang/crates.io-index	ba73ea9cf16a25df0c8caa16c51acb937d5712a8429db78a3ee29d5dcacd3a65
version-compare	0.2.1	registry+https://github.com/rust-lang/crates.io-index	03c2856837ef78f57382f06b2b8563a2f512f7185d732608fd9176cb3b8edf0e
version_check	0.9.5	registry+https://github.com/rust-lang/crates.io-index	0b928f33d975fc6ad9f86c8f283853ad26bdd5b10b7f1542aa2fa15e2289105a
wasi	0.11.1+wasi-snapshot-preview1	registry+https://github.com/rust-lang/crates.io-index	ccf3ec651a847eb01de73ccad15eb7d99f80485de043efb2f370cd654f4ea44b
wasm-bindgen	0.2.126	registry+https://github.com/rust-lang/crates.io-index	4b067c0c11094aef6b7a801c1e34a26affafdf3d051dba08456b868789aaf9a4
wasm-bindgen-macro	0.2.126	registry+https://github.com/rust-lang/crates.io-index	167ce5e579f6bcf889c4f7175a8a5a585de84e8ff93976ce393efa5f2837aab1
wasm-bindgen-macro-support	0.2.126	registry+https://github.com/rust-lang/crates.io-index	f3997c7839262f4ef12cf90b818d6340c18e80f263f1a94bf157d0ec4420380e
wasm-bindgen-shared	0.2.126	registry+https://github.com/rust-lang/crates.io-index	dc1b4cb0cc549fcf58d7dfc081778139b3d283a081644e833e84682ad71cea24
webpki-roots	0.26.11	registry+https://github.com/rust-lang/crates.io-index	521bc38abb08001b01866da9f51eb7c5d647a19260e00054a8c7fd5f9e57f7a9
webpki-roots	1.0.7	registry+https://github.com/rust-lang/crates.io-index	52f5ee44c96cf55f1b349600768e3ece3a8f26010c05265ab73f945bb1a2eb9d
winapi	0.3.9	registry+https://github.com/rust-lang/crates.io-index	5c839a674fcd7a98952e593242ea400abe93992746761e38641405d28b00f419
winapi-i686-pc-windows-gnu	0.4.0	registry+https://github.com/rust-lang/crates.io-index	ac3b87c63620426dd9b991e5ce0329eff545bccbbb34f3be09ff6fb6ab51b7b6
winapi-x86_64-pc-windows-gnu	0.4.0	registry+https://github.com/rust-lang/crates.io-index	712e227841d057c1ee1cd2fb22fa7e5a5461ae8e48fa2ca79ec42cfc1931183f
windows	0.57.0	registry+https://github.com/rust-lang/crates.io-index	12342cb4d8e3b046f3d80effd474a7a02447231330ef77d71daa6fbc40681143
windows-core	0.57.0	registry+https://github.com/rust-lang/crates.io-index	d2ed2439a290666cd67ecce2b0ffaad89c2a56b976b736e6ece670297897832d
windows-implement	0.57.0	registry+https://github.com/rust-lang/crates.io-index	9107ddc059d5b6fbfbffdfa7a7fe3e22a226def0b2608f72e9d552763d3e1ad7
windows-interface	0.57.0	registry+https://github.com/rust-lang/crates.io-index	29bee4b38ea3cde66011baa44dba677c432a78593e202392d1e9070cf2a7fca7
windows-link	0.2.1	registry+https://github.com/rust-lang/crates.io-index	f0805222e57f7521d6a62e36fa9163bc891acd422f971defe97d64e70d0a4fe5
windows-result	0.1.2	registry+https://github.com/rust-lang/crates.io-index	5e383302e8ec8515204254685643de10811af0ed97ea37210dc26fb0032647f8
windows-sys	0.52.0	registry+https://github.com/rust-lang/crates.io-index	282be5f36a8ce781fad8c8ae18fa3f9beff57ec1b52cb3de0789201425d9a33d
windows-sys	0.59.0	registry+https://github.com/rust-lang/crates.io-index	1e38bc4d79ed67fd075bcc251a1c39b32a1776bbe92e5bef1f0bf1f8c531853b
windows-sys	0.61.2	registry+https://github.com/rust-lang/crates.io-index	ae137229bcbd6cdf0f7b80a31df61766145077ddf49416a728b02cb3921ff3fc
windows-targets	0.52.6	registry+https://github.com/rust-lang/crates.io-index	9b724f72796e036ab90c1021d4780d4d3d648aca59e491e6b98e725b84e99973
windows_aarch64_gnullvm	0.52.6	registry+https://github.com/rust-lang/crates.io-index	32a4622180e7a0ec044bb555404c800bc9fd9ec262ec147edd5989ccd0c02cd3
windows_aarch64_msvc	0.52.6	registry+https://github.com/rust-lang/crates.io-index	09ec2a7bb152e2252b53fa7803150007879548bc709c039df7627cabbd05d469
windows_i686_gnu	0.52.6	registry+https://github.com/rust-lang/crates.io-index	8e9b5ad5ab802e97eb8e295ac6720e509ee4c243f69d781394014ebfe8bbfa0b
windows_i686_gnullvm	0.52.6	registry+https://github.com/rust-lang/crates.io-index	0eee52d38c090b3caa76c563b86c3a4bd71ef1a819287c19d586d7334ae8ed66
windows_i686_msvc	0.52.6	registry+https://github.com/rust-lang/crates.io-index	240948bc05c5e7c6dabba28bf89d89ffce3e303022809e73deaefe4f6ec56c66
windows_x86_64_gnu	0.52.6	registry+https://github.com/rust-lang/crates.io-index	147a5c80aabfbf0c7d901cb5895d1de30ef2907eb21fbbab29ca94c5b08b1a78
windows_x86_64_gnullvm	0.52.6	registry+https://github.com/rust-lang/crates.io-index	24d5b23dc417412679681396f2b49f3de8c1473deb516bd34410872eff51ed0d
windows_x86_64_msvc	0.52.6	registry+https://github.com/rust-lang/crates.io-index	589f6da84c646204747d1270a2a5661ea66ed1cced2631d546fdfb155959f9ec
winnow	1.0.3	registry+https://github.com/rust-lang/crates.io-index	0592e1c9d151f854e6fd382574c3a0855250e1d9b2f99d9281c6e6391af352f1
writeable	0.6.3	registry+https://github.com/rust-lang/crates.io-index	1ffae5123b2d3fc086436f8834ae3ab053a283cfac8fe0a0b8eaae044768a4c4
yoke	0.8.3	registry+https://github.com/rust-lang/crates.io-index	709fe23a0424b6a435d82152b1bd3fdfb0833487d5fa90d05d42762a9891fef5
yoke-derive	0.8.2	registry+https://github.com/rust-lang/crates.io-index	de844c262c8848816172cef550288e7dc6c7b7814b4ee56b3e1553f275f1858e
zbus	5.16.0	registry+https://github.com/rust-lang/crates.io-index	eee682d202a77e4a9f3b2c2bdf48a7b28af5c08c34ddf66f98c93e5e39464285
zbus_macros	5.16.0	registry+https://github.com/rust-lang/crates.io-index	adf1bd45a81a103745b1757754762a26e8cd01e4532e4d6c8ec431624b80d1d6
zbus_names	4.3.2	registry+https://github.com/rust-lang/crates.io-index	7074f3e50b894eac91750142016d30d0a89be8e67dbfd9704fb875825760e52d
zerocopy	0.8.50	registry+https://github.com/rust-lang/crates.io-index	3b065d4f0e55f82fae73202e189638116a87c55ab6b8e6c2721e13dd9d854ad1
zerocopy-derive	0.8.50	registry+https://github.com/rust-lang/crates.io-index	0b631b19d36a892ab55420c92dbc83ccd79274f25be714855d3074aa71cab639
zerofrom	0.1.8	registry+https://github.com/rust-lang/crates.io-index	0ec05a11813ea801ff6d75110ad09cd0824ddba17dfe17128ea0d5f68e6c5272
zerofrom-derive	0.1.7	registry+https://github.com/rust-lang/crates.io-index	11532158c46691caf0f2593ea8358fed6bbf68a0315e80aae9bd41fbade684a1
zeroize	1.8.2	registry+https://github.com/rust-lang/crates.io-index	b97154e67e32c85465826e8bcc1c59429aaaf107c1e4a9e53c8d8ccd5eff88d0
zerotrie	0.2.4	registry+https://github.com/rust-lang/crates.io-index	0f9152d31db0792fa83f70fb2f83148effb5c1f5b8c7686c3459e361d9bc20bf
zerovec	0.11.6	registry+https://github.com/rust-lang/crates.io-index	90f911cbc359ab6af17377d242225f4d75119aec87ea711a880987b18cd7b239
zerovec-derive	0.11.3	registry+https://github.com/rust-lang/crates.io-index	625dc425cab0dca6dc3c3319506e6593dcb08a9f387ea3b284dbd52a92c40555
zmij	1.0.21	registry+https://github.com/rust-lang/crates.io-index	b8848ee67ecc8aedbaf3e4122217aff892639231befc6a1b58d29fff4c2cabaa
zvariant	5.12.0	registry+https://github.com/rust-lang/crates.io-index	a192a0bde63360d77a7523c833d4b4ce6070a927e2c53246e4c540b1a3e27be0
