name	version_release	arch	license
mesa-dri-drivers	26.1.3-1.fc44	x86_64	MIT AND BSD-3-Clause AND SGI-B-2.0
mesa-filesystem	26.1.3-1.fc44	x86_64	MIT AND BSD-3-Clause AND SGI-B-2.0
mesa-libEGL	26.1.3-1.fc44	x86_64	MIT AND BSD-3-Clause AND SGI-B-2.0
mesa-libGL	26.1.3-1.fc44	x86_64	MIT AND BSD-3-Clause AND SGI-B-2.0
mesa-libGLU	9.0.3-8.fc44	x86_64	X11
mesa-libgbm	26.1.3-1.fc44	x86_64	MIT AND BSD-3-Clause AND SGI-B-2.0
mesa-vulkan-drivers	26.1.3-1.fc44	x86_64	MIT AND BSD-3-Clause AND SGI-B-2.0
microcode_ctl	2.1-74.fc44	x86_64	GPL-2.0-or-later AND LicenseRef-Fedora-Firmware
mkpasswd	5.6.6-1.fc44	x86_64	GPL-2.0-or-later
mobile-broadband-provider-info	20240407-5.fc44	noarch	CC-PDDC
mokutil	0.7.2-3.fc44	x86_64	GPL-3.0-or-later
mozjs140	140.6.0-4.fc44	x86_64	MPL-2.0 AND Apache-2.0 AND BSD-3-Clause AND BSD-2-Clause AND MIT AND GPL-3.0-or-later
mpdecimal	4.0.1-3.fc44	x86_64	BSD-2-Clause
mpfr	4.2.2-3.fc44	x86_64	LGPL-3.0-or-later
mpg123-libs	1.32.10-3.fc44	x86_64	GPL-2.0-or-later
msgraph	0.3.4-5.fc44	x86_64	LGPL-3.0-or-later
mt7xxx-firmware	20260622-1.fc44	noarch	LicenseRef-Callaway-Redistributable-no-modification-permitted
mtdev	1.1.6-12.fc44	x86_64	MIT
mutter	50.1-1.fc44	x86_64	GPL-2.0-or-later
mutter-common	50.1-1.fc44	noarch	GPL-2.0-or-later
nano	8.7.1-2.fc44	x86_64	GPL-3.0-or-later
nano-default-editor	8.7.1-2.fc44	noarch	GPL-3.0-or-later
nautilus	50.2.2-2.fc44	x86_64	GPL-3.0-or-later AND CC0-1.0
nautilus-extensions	50.2.2-2.fc44	x86_64	LGPL-2.1-or-later
ncurses	6.6-1.fc44	x86_64	MIT-open-group
ncurses-base	6.6-1.fc44	noarch	MIT-open-group
ncurses-libs	6.6-1.fc44	x86_64	MIT-open-group
ndctl	84-1.fc44	x86_64	GPL-2.0-only AND LGPL-2.1-only AND CC0-1.0 AND MIT
ndctl-libs	84-1.fc44	x86_64	LGPL-2.1-only AND CC0-1.0 AND MIT
net-tools	2.0-0.77.20160912git.fc44	x86_64	GPL-2.0-or-later
netavark	1.17.2-1.fc44	x86_64	Apache-2.0 AND BSD-3-Clause AND MIT
nettle	3.10.1-3.fc44	x86_64	LGPL-3.0-or-later OR GPL-2.0-or-later
newt	0.52.25-6.fc44	x86_64	LGPL-2.0-only
nfs-client-utils	2.8.7-5.fc44	x86_64	GPL-2.0-only AND GPL-2.0-or-later AND BSD-3-Clause AND BSD-2-Clause AND (HPND-export-US-modify AND HPND-sell-variant) AND (GPL-2.0-only WITH Linux-syscall-note OR BSD-3-Clause)
nfs-common-utils	2.8.7-5.fc44	x86_64	GPL-2.0-only AND GPL-2.0-or-later AND BSD-3-Clause AND BSD-2-Clause AND (HPND-export-US-modify AND HPND-sell-variant) AND (GPL-2.0-only WITH Linux-syscall-note OR BSD-3-Clause)
nfs-utils	2.8.7-5.fc44	x86_64	GPL-2.0-only AND GPL-2.0-or-later AND BSD-3-Clause AND BSD-2-Clause AND (HPND-export-US-modify AND HPND-sell-variant) AND (GPL-2.0-only WITH Linux-syscall-note OR BSD-3-Clause)
nfsv3-client-utils	2.8.7-5.fc44	x86_64	GPL-2.0-only AND GPL-2.0-or-later AND BSD-3-Clause AND BSD-2-Clause AND (HPND-export-US-modify AND HPND-sell-variant) AND (GPL-2.0-only WITH Linux-syscall-note OR BSD-3-Clause)
nfsv4-client-utils	2.8.7-5.fc44	x86_64	GPL-2.0-only AND GPL-2.0-or-later AND BSD-3-Clause AND BSD-2-Clause AND (HPND-export-US-modify AND HPND-sell-variant) AND (GPL-2.0-only WITH Linux-syscall-note OR BSD-3-Clause)
nftables	1.1.6-2.fc44	x86_64	GPL-2.0-only
nftables-services	1.1.6-2.fc44	noarch	GPL-2.0-only
ngtcp2	1.22.1-1.fc44	x86_64	MIT
ngtcp2-crypto-gnutls	1.22.1-1.fc44	x86_64	MIT
ngtcp2-crypto-ossl	1.22.1-1.fc44	x86_64	MIT
nilfs-utils	2.2.11-8.fc44	x86_64	GPL-2.0-or-later
nm-connection-editor	1.36.0-7.fc44	x86_64	GPL-2.0-or-later
npth	1.8-4.fc44	x86_64	LGPL-2.1-or-later
nspr	4.39.0-2.fc44	x86_64	MPL-2.0
nss	3.125.0-1.fc44	x86_64	MPL-2.0
nss-altfiles	2.23.0-9.fc44	x86_64	LGPL-2.1-or-later and MIT
nss-softokn	3.125.0-1.fc44	x86_64	MPL-2.0
nss-softokn-freebl	3.125.0-1.fc44	x86_64	MPL-2.0
nss-sysinit	3.125.0-1.fc44	x86_64	MPL-2.0
nss-util	3.125.0-1.fc44	x86_64	MPL-2.0
ntfs-3g	2026.2.25-1.fc44	x86_64	GPL-2.0-or-later
ntfs-3g-libs	2026.2.25-1.fc44	x86_64	GPL-2.0-or-later
ntfs-3g-system-compression	1.1-2.fc44	x86_64	GPL-2.0-or-later
ntfsprogs	2026.2.25-1.fc44	x86_64	GPL-2.0-or-later
numactl-libs	2.0.19-4.fc44	x86_64	LGPL-2.1-only and GPL-2.0-only
nvidia-gpu-firmware	20260622-1.fc44	noarch	LicenseRef-Callaway-Redistributable-no-modification-permitted
nvme-cli	2.16-2.fc44	x86_64	GPL-2.0-only
nxpwireless-firmware	20260622-1.fc44	noarch	LicenseRef-Callaway-Redistributable-no-modification-permitted
oniguruma	6.9.10-4.fc44	x86_64	BSD-2-Clause
openal-soft	1.24.2-6.fc44	x86_64	LGPL-2.0-or-later AND BSD-3-Clause AND GPL-2.0-or-later AND Apache-2.0 AND (LGPL-2.0-or-later AND BSD-3-Clause) AND (MIT WITH fmt-exception) AND NCL AND MIT AND LicenseRef-Fedora-Public-Domain
openapv-libs	0.2.1.2-1.fc44	x86_64	BSD-3-Clause
opencore-amr	0.1.6-10.fc44	x86_64	Apache-2.0
openh264	2.6.0-3.fc44	x86_64	BSD-2-Clause
openjpeg	2.5.4-3.fc44	x86_64	BSD-2-Clause AND MIT
openldap	2.6.13-1.fc44	x86_64	OLDAP-2.8
openpgm	5.3.128-6.fc44	x86_64	LGPL-2.1-or-later
openssh	10.2p1-10.fc44	x86_64	BSD-3-Clause AND BSD-2-Clause AND ISC AND SSH-OpenSSH AND ssh-keyscan AND snprintf AND LicenseRef-Fedora-Public-Domain AND X11-distribute-modifications-variant
openssh-clients	10.2p1-10.fc44	x86_64	BSD-3-Clause AND BSD-2-Clause AND ISC AND SSH-OpenSSH AND ssh-keyscan AND snprintf AND LicenseRef-Fedora-Public-Domain AND X11-distribute-modifications-variant
openssh-server	10.2p1-10.fc44	x86_64	BSD-3-Clause AND BSD-2-Clause AND ISC AND SSH-OpenSSH AND ssh-keyscan AND snprintf AND LicenseRef-Fedora-Public-Domain AND X11-distribute-modifications-variant
openssl	3.5.7-1.fc44	x86_64	Apache-2.0
openssl-libs	3.5.7-1.fc44	x86_64	Apache-2.0
openvr-api	2.12.14-2.fc44	x86_64	BSD-3-Clause
opus	1.6-2.fc44	x86_64	BSD-3-Clause AND BSD-2-Clause
orc	0.4.41-3.fc44	x86_64	BSD-2-Clause AND BSD-3-Clause
orca	50.2-1.fc44	noarch	LGPL-2.1-or-later AND CC-BY-SA-3.0
os-prober	1.81-11.fc44	x86_64	GPL-2.0-or-later AND GPL-1.0-or-later
osinfo-db	20251212-1.fc44	noarch	GPL-2.0-or-later
osinfo-db-tools	1.12.0-5.fc44	x86_64	GPL-2.0-or-later
ostree	2026.2-1.fc44	x86_64	LGPL-2.0-or-later
ostree-libs	2026.2-1.fc44	x86_64	LGPL-2.0-or-later
p11-kit	0.26.2-1.fc44	x86_64	BSD-3-Clause
p11-kit-server	0.26.2-1.fc44	x86_64	BSD-3-Clause
p11-kit-trust	0.26.2-1.fc44	x86_64	BSD-3-Clause
pam	1.7.2-1.fc44	x86_64	BSD-3-Clause AND GPL-2.0-or-later
pam-libs	1.7.2-1.fc44	x86_64	BSD-3-Clause AND GPL-2.0-or-later
pango	1.57.1-1.fc44	x86_64	LGPL-2.0-or-later
pangomm2.48	2.56.2-1.fc44	x86_64	LGPL-2.1-or-later
papers	49.7-1.fc44	x86_64	GPL-2.0-or-later AND GPL-3.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-or-later AND MIT AND libtiff AND BSD-2-Clause AND BSD-3-Clause AND Unicode-3.0 AND Unicode-DFS-2016 AND Zlib AND (0BSD OR MIT OR Apache-2.0) AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (BSD-2-Clause OR Apache-2.0 OR MIT) AND (BSD-3-Clause OR Apache-2.0) AND (MIT OR Zlib OR Apache-2.0) AND (Unlicense OR MIT)
papers-libs	49.7-1.fc44	x86_64	GPL-2.0-or-later AND GPL-3.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-or-later AND MIT AND libtiff AND BSD-2-Clause AND BSD-3-Clause AND Unicode-3.0 AND Unicode-DFS-2016 AND Zlib AND (0BSD OR MIT OR Apache-2.0) AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (BSD-2-Clause OR Apache-2.0 OR MIT) AND (BSD-3-Clause OR Apache-2.0) AND (MIT OR Zlib OR Apache-2.0) AND (Unlicense OR MIT)
papers-previewer	49.7-1.fc44	x86_64	GPL-2.0-or-later AND GPL-3.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-or-later AND MIT AND libtiff AND BSD-2-Clause AND BSD-3-Clause AND Unicode-3.0 AND Unicode-DFS-2016 AND Zlib AND (0BSD OR MIT OR Apache-2.0) AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (BSD-2-Clause OR Apache-2.0 OR MIT) AND (BSD-3-Clause OR Apache-2.0) AND (MIT OR Zlib OR Apache-2.0) AND (Unlicense OR MIT)
papers-thumbnailer	49.7-1.fc44	x86_64	GPL-2.0-or-later AND GPL-3.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-or-later AND MIT AND libtiff AND BSD-2-Clause AND BSD-3-Clause AND Unicode-3.0 AND Unicode-DFS-2016 AND Zlib AND (0BSD OR MIT OR Apache-2.0) AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (BSD-2-Clause OR Apache-2.0 OR MIT) AND (BSD-3-Clause OR Apache-2.0) AND (MIT OR Zlib OR Apache-2.0) AND (Unlicense OR MIT)
parted	3.6-14.fc44	x86_64	GPL-3.0-or-later
passim	0.1.11-1.fc44	x86_64	LGPL-2.1-or-later
passim-libs	0.1.11-1.fc44	x86_64	LGPL-2.1-or-later
passt	0^20260611.ga9c61ff-1.fc44	x86_64	GPL-2.0-or-later AND BSD-3-Clause
passt-selinux	0^20260611.ga9c61ff-1.fc44	noarch	GPL-2.0-or-later AND BSD-3-Clause
pcaudiolib	1.1-19.fc44	x86_64	GPL-3.0-or-later
pcre2	10.47-1.fc44.1	x86_64	BSD-3-Clause AND FSFULLR AND X11 AND GPL-2.0-or-later AND FSFAP AND FSFUL AND GPL-3.0-or-later
pcre2-syntax	10.47-1.fc44.1	noarch	BSD-3-Clause AND FSFULLR AND X11 AND GPL-2.0-or-later AND FSFAP AND FSFUL AND GPL-3.0-or-later
pcre2-utf32	10.47-1.fc44.1	x86_64	BSD-3-Clause AND FSFULLR AND X11 AND GPL-2.0-or-later AND FSFAP AND FSFUL AND GPL-3.0-or-later
pinentry	1.3.2-3.fc44	x86_64	GPL-2.0-or-later
pinentry-gnome3	1.3.2-3.fc44	x86_64	GPL-2.0-or-later
pipewire	1.6.7-1.fc44	x86_64	MIT
pipewire-alsa	1.6.7-1.fc44	x86_64	MIT
pipewire-gstreamer	1.6.7-1.fc44	x86_64	MIT
pipewire-libs	1.6.7-1.fc44	x86_64	MIT AND GPL-2.0-or-later AND BSD-2-Clause AND LGPL-2.0-or-later
pipewire-pulseaudio	1.6.7-1.fc44	x86_64	MIT
pipewire-utils	1.6.7-1.fc44	x86_64	MIT
pixman	0.46.2-3.fc44	x86_64	MIT
pkcs11-provider	1.1-3.fc44	x86_64	Apache-2.0
pkgconf	2.5.1-1.fc44	x86_64	ISC AND BSD-4-Clause AND BSD-2-Clause AND pkgconf AND MIT
pkgconf-m4	2.5.1-1.fc44	noarch	GPL-2.0-or-later WITH Autoconf-exception-generic
pkgconf-pkg-config	2.5.1-1.fc44	x86_64	ISC AND BSD-4-Clause AND BSD-2-Clause AND pkgconf AND MIT
plymouth	24.004.60-24.fc44	x86_64	GPL-2.0-or-later
plymouth-core-libs	24.004.60-24.fc44	x86_64	GPL-2.0-or-later
plymouth-graphics-libs	24.004.60-24.fc44	x86_64	GPL-2.0-or-later
plymouth-plugin-script	24.004.60-24.fc44	x86_64	GPL-2.0-or-later
plymouth-scripts	24.004.60-24.fc44	x86_64	GPL-2.0-or-later
podman	5.8.3-1.fc44	x86_64	Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MIT AND MPL-2.0
podman-sequoia	0.3.2-2.fc44	x86_64	((MIT OR Apache-2.0) AND Unicode-DFS-2016) AND (0BSD OR MIT OR Apache-2.0) AND Apache-2.0 AND (Apache-2.0 OR MIT) AND (Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT) AND (BSD-2-Clause OR Apache-2.0 OR MIT) AND BSD-3-Clause AND BSL-1.0 AND LGPL-2.0-or-later AND MIT AND (MIT OR Apache-2.0) AND (MIT OR Zlib OR Apache-2.0) AND MPL-2.0 AND Unicode-3.0 AND (Unlicense OR MIT) AND Zlib
policycoreutils	3.10-4.fc44	x86_64	GPL-2.0-or-later
policycoreutils-python-utils	3.10-4.fc44	noarch	GPL-2.0-or-later
polkit	127-2.fc44.2	x86_64	LGPL-2.0-or-later
polkit-libs	127-2.fc44.2	x86_64	LGPL-2.0-or-later
polkit-pkla-compat	0.1-32.fc44	x86_64	LGPL-2.0-or-later
poppler	26.01.0-3.fc44	x86_64	(GPL-2.0-only OR GPL-3.0-only) AND GPL-2.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-or-later AND MIT
poppler-data	0.4.11-11.fc44	noarch	(GPL-2.0-only OR GPL-3.0-only) AND BSD-3-Clause
poppler-glib	26.01.0-3.fc44	x86_64	(GPL-2.0-only OR GPL-3.0-only) AND GPL-2.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-or-later AND MIT
popt	1.19-10.fc44	x86_64	MIT AND LicenseRef-Fedora-Public-Domain
procps-ng	4.0.6-1.fc44	x86_64	GPL-2.0-or-later AND LGPL-2.0-or-later AND LGPL-2.1-or-later
protobuf	3.19.6-20.fc44	x86_64	BSD-3-Clause
protobuf-c	1.5.2-2.fc44	x86_64	BSD-2-Clause
psmisc	23.7-7.fc44	x86_64	GPL-2.0-or-later
publicsuffix-list-dafsa	20260116-1.fc44	noarch	MPL-2.0
pulseaudio-libs	17.0-9.fc44	x86_64	LGPL-2.1-or-later
pulseaudio-libs-glib2	17.0-9.fc44	x86_64	LGPL-2.1-or-later
python-oslo-i18n-lang	6.7.1-2.fc44	noarch	Apache-2.0
python-oslo-utils-lang	7.3.0-7.fc44	noarch	Apache-2.0
python-pip-wheel	26.0.1-2.fc44	noarch	MIT AND Python-2.0.1 AND Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND ISC AND MPL-2.0 AND (Apache-2.0 OR BSD-2-Clause)
python-unversioned-command	3.14.6-1.fc44	noarch	Python-2.0.1
python3	3.14.6-1.fc44	x86_64	Python-2.0.1
python3-argcomplete	3.6.3-4.fc44	noarch	Apache-2.0
python3-audit	4.1.4-1.fc44	x86_64	LGPL-2.0-or-later
python3-azure-core	1.38.0-1.fc44	noarch	MIT
python3-azure-storage-blob	12.28.0-1.fc44	noarch	MIT
python3-b2sdk	1.21.0-13.fc44	noarch	MIT
python3-bcrypt	4.3.0-7.fc44	x86_64	Apache-2.0 AND LicenseRef-Fedora-Public-Domain AND BSD-3-Clause AND MIT AND (Apache-2.0 OR MIT) AND (Unlicense OR MIT)
python3-blivet	3.13.2-2.fc44	noarch	LGPL-2.1-or-later
python3-blockdev	3.5.0-1.fc44	x86_64	LGPL-2.1-or-later
python3-boto3	1.43.31-1.fc44	noarch	Apache-2.0
python3-botocore	1.43.31-1.fc44	noarch	Apache-2.0
python3-brlapi	0.8.7-8.fc44	x86_64	LGPL-2.0-or-later AND LGPL-2.1-or-later AND GPL-2.0-or-later
python3-bugzilla	3.3.0-7.fc44	noarch	GPL-2.0-or-later
python3-bytesize	2.12-2.fc44	x86_64	LGPL-2.1-or-later
python3-cairo	1.28.0-5.fc44	x86_64	LGPL-2.1-only OR MPL-1.1
python3-cffi	2.0.0-3.fc44	x86_64	MIT AND PSF-2.0
python3-charset-normalizer	3.4.4-2.fc44	noarch	MIT
python3-crypt-r	3.13.1-9.fc44	x86_64	Python-2.0.1
python3-cryptography	48.0.0-1.fc44	x86_64	(Apache-2.0 OR BSD-3-Clause) AND PSF-2.0 AND Apache-2.0 AND BSD-3-Clause AND MIT AND (MIT OR Apache-2.0)
python3-dasbus	1.7-14.fc44	noarch	LGPL-2.1-or-later
python3-dateutil	2.9.0.post0-7.fc44	noarch	(Apache-2.0 AND BSD-3-Clause) OR BSD-3-Clause
python3-dbus	1.4.0-9.fc44	x86_64	MIT
python3-dbus-next	0.2.3-18.fc44	noarch	MIT
python3-debtcollector	3.0.0-10.fc44	noarch	Apache-2.0
python3-distro	1.9.0-11.fc44	noarch	Apache-2.0
python3-dnf	4.24.0-3.fc44	noarch	GPL-2.0-or-later AND GPL-1.0-only
python3-dropbox	12.0.2-12.fc44	noarch	MIT
python3-fasteners	0.20-4.fc44	noarch	Apache-2.0
python3-file-magic	5.46-10.fc44	noarch	BSD-2-Clause-Darwin AND BSD-2-Clause
python3-firewall	2.4.0-2.fc44	noarch	GPL-2.0-or-later
python3-gobject	3.56.3-1.fc44	x86_64	LGPL-2.1-or-later
python3-gobject-base	3.56.3-1.fc44	x86_64	LGPL-2.1-or-later
python3-google-api-client	2.189.0-1.fc44	noarch	Apache-2.0
python3-google-api-core	2.27.0-2.fc44	noarch	Apache-2.0
python3-google-auth	2.47.0-1.fc44	noarch	Apache-2.0
python3-google-auth-httplib2	0.3.1-1.fc44	noarch	Apache-2.0
python3-google-auth-oauthlib	1.2.4-2.fc44	noarch	Apache-2.0
python3-googleapis-common-protos	1.63.0-14.fc44	noarch	Apache-2.0
python3-hawkey	0.75.0-2.fc44	x86_64	LGPL-2.1-or-later
python3-html2text	2025.4.15-6.fc44	noarch	GPL-3.0-or-later
python3-httplib2	0.22.0-8.fc44	noarch	MIT
python3-ibus	1.5.34-2.fc44	x86_64	LGPL-2.1-or-later
python3-idna	3.11-2.fc44	noarch	BSD-3-Clause
python3-inotify	0.9.6-43.fc44	noarch	MIT
python3-iso639	0.1.4-33.fc44	noarch	MIT
python3-iso8601	2.1.0-7.fc44	noarch	MIT
python3-isodate	0.7.2-7.fc44	noarch	BSD-3-Clause
python3-jaraco-classes	3.4.0-11.fc44	noarch	MIT
python3-jaraco-context	6.1.0-2.fc44	noarch	MIT
python3-jaraco-functools	4.3.0-2.fc44	noarch	MIT
python3-jeepney	0.9.0-8.fc44	noarch	MIT
python3-jmespath	1.0.1-14.fc44	noarch	MIT
python3-keyring	25.7.0-3.fc44	noarch	MIT
python3-keystoneauth1	5.8.0-7.fc44	noarch	Apache-2.0
python3-keystoneclient	5.5.0-6.fc44	noarch	Apache-2.0
python3-kickstart	3.69-1.fc44	noarch	GPL-2.0-only
python3-langtable	0.0.71-1.fc44	noarch	GPL-3.0-or-later
python3-libcomps	0.1.24-1.fc44	x86_64	GPL-2.0-or-later
python3-libdnf	0.75.0-2.fc44	x86_64	LGPL-2.1-or-later
python3-libdnf5	5.4.2.1-1.fc44	x86_64	LGPL-2.1-or-later
python3-libmount	2.41.5-1.fc44	x86_64	LGPL-2.1-or-later
python3-libreport	2.17.15-10.fc44	x86_64	GPL-2.0-or-later
python3-libs	3.14.6-1.fc44	x86_64	Python-2.0.1 AND MIT AND BSD-3-Clause AND MIT-CMU AND HPND-SMC AND BSD-2-Clause AND dtoa
python3-libselinux	3.10-1.fc44	x86_64	LicenseRef-Fedora-Public-Domain
python3-libsemanage	3.10-1.fc44	x86_64	LGPL-2.1-or-later
python3-linux-procfs	0.7.4-3.fc44	noarch	GPL-2.0-only
python3-logfury	1.0.1-20.fc44	noarch	BSD-3-Clause
python3-louis	3.33.0-7.fc44	noarch	LGPL-2.1-or-later
python3-lxml	6.1.1-1.fc44	x86_64	BSD-3-Clause AND MIT-CMU AND MIT
python3-meh	0.52-9.fc44	noarch	GPL-2.0-or-later
python3-meh-gui	0.52-9.fc44	noarch	GPL-2.0-or-later
python3-more-itertools	10.8.0-1.fc44	noarch	MIT
python3-msgpack	1.1.2-2.fc44	x86_64	Apache-2.0
python3-netaddr	1.3.0-11.fc44	noarch	BSD-3-Clause
python3-netifaces	0.11.0-16.fc44	x86_64	MIT
python3-nftables	1.1.6-2.fc44	noarch	GPL-2.0-only
python3-oauthlib	3.3.1-1.fc44	noarch	BSD-3-Clause
python3-os-service-types	1.7.0-25.fc44	noarch	Apache-2.0
python3-oslo-config	9.6.0-8.fc44	noarch	Apache-2.0
python3-oslo-i18n	6.7.1-2.fc44	noarch	Apache-2.0
python3-oslo-serialization	5.5.0-7.fc44	noarch	Apache-2.0
python3-oslo-utils	7.3.0-7.fc44	noarch	Apache-2.0
python3-packaging	25.0-8.fc44	noarch	BSD-2-Clause OR Apache-2.0
python3-pam	2.0.2-18.fc44	noarch	MIT
python3-paramiko	3.5.1-7.fc44	noarch	LGPL-2.1-or-later
python3-pbr	7.0.3-2.fc44	noarch	Apache-2.0
python3-pexpect	4.9.0-15.fc44	noarch	ISC AND BSD-3-Clause
python3-pid	3.0.4-5.fc44	noarch	Apache-2.0
python3-ply	3.11-33.fc44	noarch	BSD-3-Clause
python3-policycoreutils	3.10-4.fc44	noarch	GPL-2.0-or-later
python3-productmd	1.50-2.fc44	noarch	LGPL-2.1-only
python3-proto-plus	1.22.3-12.fc44	noarch	Apache-2.0
python3-protobuf	3.19.6-20.fc44	noarch	BSD-3-Clause
python3-psutil	7.2.2-1.fc44	x86_64	BSD-3-Clause
python3-ptyprocess	0.7.0-15.fc44	noarch	ISC
python3-pwquality	1.4.5-15.fc44	x86_64	BSD-3-Clause OR GPL-2.0-or-later
python3-pyasn1	0.6.2-1.fc44	noarch	BSD-2-Clause
python3-pyasn1-modules	0.6.2-1.fc44	noarch	BSD-2-Clause
python3-pyatspi	2.58.2-1.fc44	noarch	LGPL-2.0-or-later AND GPL-2.0-or-later
python3-pycparser	2.22-8.fc44	noarch	BSD-3-Clause
python3-pynacl	1.6.2-1.fc44	x86_64	Apache-2.0
python3-pyparsing	3.1.2-15.fc44	noarch	MIT
python3-pyparted	3.13.0-14.fc44	x86_64	GPL-2.0-or-later
python3-pysocks	1.7.1-32.fc44	noarch	BSD-3-Clause
python3-pytz	2026.1-1.fc44	noarch	MIT
python3-pyudev	0.24.4-3.fc44	noarch	LGPL-2.1-or-later
python3-pyyaml	6.0.3-3.fc44	x86_64	MIT
python3-requests	2.33.1-1.fc44	noarch	Apache-2.0
python3-requests-file	3.0.0-2.fc44	noarch	Apache-2.0
python3-requests-ftp	0.3.1-43.fc44	noarch	Apache-2.0
python3-requests-oauthlib	2.0.0-1.fc44	noarch	ISC
python3-rfc3986	2.0.0-6.fc44	noarch	Apache-2.0
python3-rpm	6.0.1-2.fc44	x86_64	GPL-2.0-or-later
python3-rsa	4.9-13.fc44	noarch	Apache-2.0
python3-s3transfer	0.19.0-1.fc44	noarch	Apache-2.0
python3-satyr	0.43-10.fc44	x86_64	GPL-2.0-or-later
python3-secretstorage	3.5.0-2.fc44	noarch	BSD-3-Clause
python3-setools	4.6.0-5.fc44	x86_64	LGPL-2.1-only
python3-setuptools	80.10.2-3.fc44	noarch	MIT AND Apache-2.0 AND (BSD-2-Clause OR Apache-2.0) AND LGPL-3.0-only
python3-simpleline	1.9.0-18.fc44	noarch	LGPL-3.0-or-later
python3-six	1.17.0-8.fc44	noarch	MIT
python3-speechd	0.12.1-6.fc44	x86_64	GPL-2.0-or-later
python3-stevedore	5.3.0-7.fc44	noarch	Apache-2.0
python3-stone	3.2.1-22.fc44	noarch	MIT
python3-swiftclient	4.6.0-6.fc44	noarch	Apache-2.0
python3-swiftclient+keystone	4.6.0-6.fc44	noarch	Apache-2.0
python3-systemd	235-18.fc44	x86_64	LGPL-2.1-or-later
python3-tqdm	4.68.3-1.fc44	noarch	MPL-2.0 AND LicenseRef-Callaway-MIT
python3-typing-extensions	4.15.0-3.fc44	noarch	PSF-2.0
python3-uritemplate	4.1.1-18.fc44	noarch	BSD-3-Clause OR Apache-2.0
python3-urllib3	2.7.0-1.fc44	noarch	MIT
python3-urllib3+socks	2.7.0-1.fc44	noarch	MIT
python3-wrapt	2.2.1-1.fc44	x86_64	BSD-2-Clause
python3-xkbregistry	0.3-9.fc44	x86_64	MIT
qcom-wwan-firmware	20260622-1.fc44	noarch	LicenseRef-Callaway-Redistributable-no-modification-permitted
qemu-user-static	10.2.2-1.fc44	x86_64	Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND FSFAP AND GPL-1.0-or-later AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-2.0-or-later WITH GCC-exception-2.0 AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND MIT AND LicenseRef-Fedora-Public-Domain AND CC-BY-3.0
qemu-user-static-aarch64	10.2.2-1.fc44	x86_64	Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND FSFAP AND GPL-1.0-or-later AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-2.0-or-later WITH GCC-exception-2.0 AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND MIT AND LicenseRef-Fedora-Public-Domain AND CC-BY-3.0
qemu-user-static-alpha	10.2.2-1.fc44	x86_64	Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND FSFAP AND GPL-1.0-or-later AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-2.0-or-later WITH GCC-exception-2.0 AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND MIT AND LicenseRef-Fedora-Public-Domain AND CC-BY-3.0
qemu-user-static-arm	10.2.2-1.fc44	x86_64	Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND FSFAP AND GPL-1.0-or-later AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-2.0-or-later WITH GCC-exception-2.0 AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND MIT AND LicenseRef-Fedora-Public-Domain AND CC-BY-3.0
qemu-user-static-hexagon	10.2.2-1.fc44	x86_64	Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND FSFAP AND GPL-1.0-or-later AND GPL-2.0-only AND GPL-2.0-or-later AND GPL-2.0-or-later WITH GCC-exception-2.0 AND LGPL-2.0-only AND LGPL-2.0-or-later AND LGPL-2.1-only AND LGPL-2.1-or-later AND MIT AND LicenseRef-Fedora-Public-Domain AND CC-BY-3.0
